Year,UNIT_MEASURE,Administrative area,Sex,Education,Value
2013,Number,City of Banja Luka,M,university_degree,12201
2013,Number,City of Banja Luka,F,university_degree,13723
2013,Number,Berkovici,Both sexes,university_degree,92
2013,Number,Berkovici,M,university_degree,51
2013,Number,Berkovici,F,university_degree,41
2013,Number,City of Bijeljina,Both sexes,university_degree,8088
2013,Number,City of Bijeljina,M,university_degree,3846
2013,Number,City of Bijeljina,F,university_degree,4242
2013,Number,Bileca,Both sexes,university_degree,791
2013,Number,Bileca,M,university_degree,443
2013,Number,Bileca,F,university_degree,348
2013,Number,Bratunac,Both sexes,university_degree,1014
2013,Number,Bratunac,M,university_degree,515
2013,Number,Bratunac,F,university_degree,499
2013,Number,Brod,Both sexes,university_degree,801
2013,Number,Brod,M,university_degree,389
2013,Number,Brod,F,university_degree,412
2013,Number,Visegrad,Both sexes,university_degree,818
2013,Number,Visegrad,M,university_degree,410
2013,Number,Visegrad,F,university_degree,408
2013,Number,Vlasenica,Both sexes,university_degree,641
2013,Number,Vlasenica,M,university_degree,316
2013,Number,Vlasenica,F,university_degree,325
2013,Number,Vukosavlje,Both sexes,university_degree,97
2013,Number,Vukosavlje,M,university_degree,55
2013,Number,Vukosavlje,F,university_degree,42
2013,Number,Gacko,Both sexes,university_degree,812
2013,Number,Gacko,M,university_degree,413
2013,Number,Gacko,F,university_degree,399
2013,Number,City of Gradiska,Both sexes,university_degree,2538
2013,Number,City of Gradiska,M,university_degree,1270
2013,Number,City of Gradiska,F,university_degree,1268
2013,Number,City of Derventa,Both sexes,university_degree,1242
2013,Number,City of Derventa,M,university_degree,598
2013,Number,City of Derventa,F,university_degree,644
2013,Number,City of Doboj,Both sexes,university_degree,4634
2013,Number,City of Doboj,M,university_degree,2420
2013,Number,City of Doboj,F,university_degree,2214
2013,Number,Donji Zabar,Both sexes,university_degree,100
2013,Number,Donji Zabar,M,university_degree,59
2013,Number,Donji Zabar,F,university_degree,41
2013,Number,City of Zvornik,Both sexes,university_degree,2964
2013,Number,City of Zvornik,M,university_degree,1529
2013,Number,City of Zvornik,F,university_degree,1435
2013,Number,East Ilidza,Both sexes,university_degree,1844
2013,Number,East Ilidza,M,university_degree,802
2013,Number,East Ilidza,F,university_degree,1042
2013,Number,East Drvar,Both sexes,university_degree,10
2013,Number,East Drvar,M,university_degree,8
2013,Number,East Drvar,F,university_degree,2
2013,Number,East Mostar,Both sexes,university_degree,14
2013,Number,East Mostar,M,university_degree,7
2013,Number,East Mostar,F,university_degree,7
2013,Number,East Stari Grad,Both sexes,university_degree,53
2013,Number,East Stari Grad,M,university_degree,21
2013,Number,East Stari Grad,F,university_degree,32
2013,Number,East Novo Sarajevo,Both sexes,university_degree,1563
2013,Number,East Novo Sarajevo,M,university_degree,745
2013,Number,East Novo Sarajevo,F,university_degree,818
2013,Number,Jezero,Both sexes,university_degree,30
2013,Number,Jezero,M,university_degree,19
2013,Number,Jezero,F,university_degree,11
2013,Number,Kalinovik,Both sexes,university_degree,147
2013,Number,Kalinovik,M,university_degree,85
2013,Number,Kalinovik,F,university_degree,62
2013,Number,Knezevo,Both sexes,university_degree,334
2013,Number,Knezevo,M,university_degree,188
2013,Number,Knezevo,F,university_degree,146
2013,Number,Kozarska Dubica,Both sexes,university_degree,999
2013,Number,Kozarska Dubica,M,university_degree,501
2013,Number,Kozarska Dubica,F,university_degree,498
2013,Number,Kostajnica,Both sexes,university_degree,281
2013,Number,Kostajnica,M,university_degree,134
2013,Number,Kostajnica,F,university_degree,147
2013,Number,Kotor Varos,Both sexes,university_degree,767
2013,Number,Kotor Varos,M,university_degree,408
2013,Number,Kotor Varos,F,university_degree,359
2013,Number,Krupa Na Uni,Both sexes,university_degree,13
2013,Number,Krupa Na Uni,M,university_degree,7
2013,Number,Krupa Na Uni,F,university_degree,6
2013,Number,Kupres,Both sexes,university_degree,4
2013,Number,Kupres,M,university_degree,3
2013,Number,Kupres,F,university_degree,1
2013,Number,Laktasi,Both sexes,university_degree,1729
2013,Number,Laktasi,M,university_degree,829
2013,Number,Laktasi,F,university_degree,900
2013,Number,Lopare,Both sexes,university_degree,560
2013,Number,Lopare,M,university_degree,264
2013,Number,Lopare,F,university_degree,296
2013,Number,Ljubinje,Both sexes,university_degree,255
2013,Number,Ljubinje,M,university_degree,145
2013,Number,Ljubinje,F,university_degree,110
2013,Number,Milici,Both sexes,university_degree,573
2013,Number,Milici,M,university_degree,295
2013,Number,Milici,F,university_degree,278
2013,Number,Modrica,Both sexes,university_degree,1186
2013,Number,Modrica,M,university_degree,605
2013,Number,Modrica,F,university_degree,581
2013,Number,Mrkonjic Grad,Both sexes,university_degree,832
2013,Number,Mrkonjic Grad,M,university_degree,410
2013,Number,Mrkonjic Grad,F,university_degree,422
2013,Number,Nevesinje,Both sexes,university_degree,856
2013,Number,Nevesinje,M,university_degree,459
2013,Number,Nevesinje,F,university_degree,397
2013,Number,Novi Grad,Both sexes,university_degree,1243
2013,Number,Novi Grad,M,university_degree,602
2013,Number,Novi Grad,F,university_degree,641
2013,Number,Novo Gorazde,Both sexes,university_degree,145
2013,Number,Novo Gorazde,M,university_degree,71
2013,Number,Novo Gorazde,F,university_degree,74
2013,Number,Osmaci,Both sexes,university_degree,235
2013,Number,Osmaci,M,university_degree,148
2013,Number,Osmaci,F,university_degree,87
2013,Number,Ostra Luka,Both sexes,university_degree,55
2013,Number,Ostra Luka,M,university_degree,24
2013,Number,Ostra Luka,F,university_degree,31
2013,Number,Pale,Both sexes,university_degree,2538
2013,Number,Pale,M,university_degree,1148
2013,Number,Pale,F,university_degree,1390
2013,Number,Pelagicevo,Both sexes,university_degree,94
2013,Number,Pelagicevo,M,university_degree,53
2013,Number,Pelagicevo,F,university_degree,41
2013,Number,Petrovac,Both sexes,university_degree,26
2013,Number,Petrovac,M,university_degree,13
2013,Number,Petrovac,F,university_degree,13
2013,Number,Petrovo,Both sexes,university_degree,259
2013,Number,Petrovo,M,university_degree,134
2013,Number,Petrovo,F,university_degree,125
2013,Number,City of Prijedor,Both sexes,university_degree,4646
2013,Number,City of Prijedor,M,university_degree,2220
2013,Number,City of Prijedor,F,university_degree,2426
2013,Number,Prnjavor,Both sexes,university_degree,1336
2013,Number,Prnjavor,M,university_degree,627
2013,Number,Prnjavor,F,university_degree,709
2013,Number,Ribnik,Both sexes,university_degree,195
2013,Number,Ribnik,M,university_degree,108
2013,Number,Ribnik,F,university_degree,87
2013,Number,Rogatica,Both sexes,university_degree,702
2013,Number,Rogatica,M,university_degree,354
2013,Number,Rogatica,F,university_degree,348
2013,Number,Rudo,Both sexes,university_degree,454
2013,Number,Rudo,M,university_degree,232
2013,Number,Rudo,F,university_degree,222
2013,Number,Sokolac,Both sexes,university_degree,1113
2013,Number,Sokolac,M,university_degree,529
2013,Number,Sokolac,F,university_degree,584
2013,Number,Srbac,Both sexes,university_degree,798
2013,Number,Srbac,M,university_degree,410
2013,Number,Srbac,F,university_degree,388
2013,Number,Srebrenica,Both sexes,university_degree,741
2013,Number,Srebrenica,M,university_degree,395
2013,Number,Srebrenica,F,university_degree,346
2013,Number,Teslic,Both sexes,university_degree,1351
2013,Number,Teslic,M,university_degree,689
2013,Number,Teslic,F,university_degree,662
2013,Number,City of Trebinje,Both sexes,university_degree,3262
2013,Number,City of Trebinje,M,university_degree,1642
2013,Number,City of Trebinje,F,university_degree,1620
2013,Number,Trnovo,Both sexes,university_degree,139
2013,Number,Trnovo,M,university_degree,66
2013,Number,Trnovo,F,university_degree,73
2013,Number,Ugljevik,Both sexes,university_degree,903
2013,Number,Ugljevik,M,university_degree,443
2013,Number,Ugljevik,F,university_degree,460
2013,Number,Foca,Both sexes,university_degree,1422
2013,Number,Foca,M,university_degree,757
2013,Number,Foca,F,university_degree,665
2013,Number,Han Pijesak,Both sexes,university_degree,274
2013,Number,Han Pijesak,M,university_degree,138
2013,Number,Han Pijesak,F,university_degree,136
2013,Number,Cajnice,Both sexes,university_degree,280
2013,Number,Cajnice,M,university_degree,152
2013,Number,Cajnice,F,university_degree,128
2013,Number,Celinac,Both sexes,university_degree,618
2013,Number,Celinac,M,university_degree,290
2013,Number,Celinac,F,university_degree,328
2013,Number,Samac,Both sexes,university_degree,911
2013,Number,Samac,M,university_degree,494
2013,Number,Samac,F,university_degree,417
2013,Number,Sekovici,Both sexes,university_degree,267
2013,Number,Sekovici,M,university_degree,144
2013,Number,Sekovici,F,university_degree,123
2013,Number,Sipovo,Both sexes,university_degree,423
2013,Number,Sipovo,M,university_degree,229
2013,Number,Sipovo,F,university_degree,194
